FIPS,State,"County, State",Year,Overall Food Insecurity Rate (1 Year),# of Food Insecure Persons Overall (1 Year),Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons ",Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate (1 Year),# of Food Insecure Children (1 Year),% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal (1 Year),Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
13297,GA,"Walton County, Georgia",2020,10.40%,"9,700",21%,16%,6%,130%,SNAP,185%,Other Nutrition Program,40.70%,20.20%,39.10%,11.30%,"2,590",80%,20%,$3.27 ,$17.36 ,"$5,108,000.00 "
13299,GA,"Ware County, Georgia",2020,14.90%,"5,330",22%,24%,10%,130%,SNAP,185%,Other Nutrition Program,55.90%,16.70%,27.40%,21.20%,"1,830",84%,16%,$3.00 ,$15.94 ,"$2,577,000.00 "
13301,GA,"Warren County, Georgia",2020,14.90%,780,19%,,8%,130%,SNAP,185%,Other Nutrition Program,56.60%,9.90%,33.60%,31.00%,330,83%,17%,$2.92 ,$15.49 ,"$366,000.00 "
13303,GA,"Washington County, Georgia",2020,14.00%,"2,840",21%,,7%,130%,SNAP,185%,Other Nutrition Program,61.30%,12.80%,26.00%,21.80%,950,83%,17%,$3.05 ,$16.17 ,"$1,393,000.00 "
13305,GA,"Wayne County, Georgia",2020,13.10%,"3,920",22%,16%,9%,130%,SNAP,185%,Other Nutrition Program,52.80%,22.10%,25.00%,14.70%,"1,080",93%,7%,$3.01 ,$15.99 ,"$1,901,000.00 "
13307,GA,"Webster County, Georgia",2020,14.40%,370,21%,,6%,130%,SNAP,185%,Other Nutrition Program,54.30%,15.00%,30.80%,20.10%,120,65%,35%,$3.54 ,$18.78 ,"$211,000.00 "
13309,GA,"Wheeler County, Georgia",2020,16.40%,"1,290",,,15%,130%,SNAP,185%,Other Nutrition Program,62.90%,11.30%,25.80%,18.70%,250,95%,5%,$3.09 ,$16.40 ,"$642,000.00 "
13311,GA,"White County, Georgia",2020,11.70%,"3,500",7%,,8%,130%,SNAP,185%,Other Nutrition Program,37.10%,27.60%,35.30%,10.50%,580,99%,1%,$3.02 ,$16.03 ,"$1,702,000.00 "
13313,GA,"Whitfield County, Georgia",2020,12.30%,"12,790",21%,15%,9%,130%,SNAP,185%,Other Nutrition Program,51.50%,38.90%,9.50%,13.60%,"3,670",100%,0%,$3.01 ,$16.00 ,"$6,206,000.00 "
13315,GA,"Wilcox County, Georgia",2020,14.20%,"1,240",26%,,8%,130%,SNAP,185%,Other Nutrition Program,41.10%,12.50%,46.40%,19.10%,310,85%,15%,$3.05 ,$16.17 ,"$608,000.00 "
13317,GA,"Wilkes County, Georgia",2020,15.10%,"1,480",21%,,7%,130%,SNAP,185%,Other Nutrition Program,54.10%,17.70%,28.20%,24.00%,500,72%,28%,$2.92 ,$15.49 ,"$695,000.00 "
13319,GA,"Wilkinson County, Georgia",2020,14.10%,"1,260",20%,,11%,130%,SNAP,185%,Other Nutrition Program,54.90%,7.00%,38.00%,21.10%,430,60%,40%,$3.18 ,$16.90 ,"$646,000.00 "
13321,GA,"Worth County, Georgia",2020,13.50%,"2,750",21%,,9%,130%,SNAP,185%,Other Nutrition Program,50.50%,16.50%,33.00%,20.00%,900,76%,24%,$2.95 ,$15.65 ,"$1,305,000.00 "
15001,HI,"Hawaii County, Hawaii",2020,14.50%,"29,120",,22%,9%,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.80%,,33.20%,25.70%,"11,110",65%,35%,$4.25 ,$22.54 ,"$19,910,000.00 "
15003,HI,"Honolulu County, Hawaii",2020,12.20%,"119,100",,19%,7%,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",48.00%,,52.00%,21.20%,"43,860",48%,52%,$3.98 ,$21.11 ,"$76,255,000.00 "
15005,HI,"Kalawao County, Hawaii",2020,13.40%,60,,,,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",6.00%,,94.00%,21.40%,  -   ,0%,100%,$4.40 ,$23.35 ,"$43,000.00 "
15007,HI,"Kauai County, Hawaii",2020,14.20%,"10,250",,18%,6%,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",53.60%,,46.40%,25.70%,"4,030",50%,50%,$3.86 ,$20.50 ,"$6,375,000.00 "
15009,HI,"Maui County, Hawaii",2020,15.60%,"25,980",,17%,8%,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",49.40%,,50.60%,27.20%,"9,890",42%,58%,$4.40 ,$23.35 ,"$18,403,000.00 "
16001,ID,"Ada County, Idaho",2020,7.80%,"36,850",,15%,6%,130%,SNAP,185%,Other Nutrition Program,41.50%,14.80%,43.70%,8.40%,"9,270",68%,32%,$3.86 ,$20.50 ,"$22,912,000.00 "
16003,ID,"Adams County, Idaho",2020,13.70%,580,,,12%,130%,SNAP,185%,Other Nutrition Program,48.00%,14.50%,37.50%,18.90%,130,62%,38%,$3.96 ,$21.04 ,"$370,000.00 "
16005,ID,"Bannock County, Idaho",2020,10.60%,"9,170",,19%,9%,130%,SNAP,185%,Other Nutrition Program,53.00%,19.90%,27.10%,12.40%,"2,800",85%,15%,$3.40 ,$18.06 ,"$5,024,000.00 "
16007,ID,"Bear Lake County, Idaho",2020,9.70%,590,,,8%,130%,SNAP,185%,Other Nutrition Program,54.60%,11.90%,33.50%,12.50%,200,81%,19%,$3.08 ,$16.32 ,"$292,000.00 "
16009,ID,"Benewah County, Idaho",2020,12.60%,"1,160",,,10%,130%,SNAP,185%,Other Nutrition Program,49.70%,34.60%,15.70%,17.00%,360,74%,26%,$3.56 ,$18.89 ,"$665,000.00 "
16011,ID,"Bingham County, Idaho",2020,8.40%,"3,900",,17%,7%,130%,SNAP,185%,Other Nutrition Program,59.00%,29.80%,11.20%,10.70%,"1,520",99%,1%,$3.03 ,$16.07 ,"$1,901,000.00 "
16013,ID,"Blaine County, Idaho",2020,9.60%,"2,180",,18%,6%,130%,SNAP,185%,Other Nutrition Program,53.20%,14.50%,32.20%,16.10%,790,86%,14%,$4.86 ,$25.81 ,"$1,707,000.00 "
16015,ID,"Boise County, Idaho",2020,11.20%,860,,,7%,130%,SNAP,185%,Other Nutrition Program,44.70%,18.10%,37.20%,16.70%,200,78%,22%,$3.86 ,$20.50 ,"$535,000.00 "
16017,ID,"Bonner County, Idaho",2020,11.50%,"5,160",,,8%,130%,SNAP,185%,Other Nutrition Program,48.80%,18.80%,32.40%,14.80%,"1,300",68%,32%,$3.42 ,$18.16 ,"$2,842,000.00 "
16019,ID,"Bonneville County, Idaho",2020,8.10%,"9,450",,16%,7%,130%,SNAP,185%,Other Nutrition Program,45.60%,33.30%,21.10%,9.40%,"3,400",95%,5%,$3.22 ,$17.09 ,"$4,900,000.00 "
16021,ID,"Boundary County, Idaho",2020,13.40%,"1,630",,,10%,130%,SNAP,185%,Other Nutrition Program,51.90%,5.80%,42.30%,18.60%,530,64%,36%,$3.42 ,$18.16 ,"$898,000.00 "
16023,ID,"Butte County, Idaho",2020,12.40%,320,,,11%,130%,SNAP,185%,Other Nutrition Program,55.90%,10.00%,34.00%,14.90%,80,77%,23%,$4.86 ,$25.81 ,"$251,000.00 "
16025,ID,"Camas County, Idaho",2020,10.90%,120,,,9%,130%,SNAP,185%,Other Nutrition Program,46.80%,34.20%,19.00%,15.40%,40,73%,27%,$4.86 ,$25.81 ,"$94,000.00 "
16027,ID,"Canyon County, Idaho",2020,9.30%,"20,840",,17%,8%,130%,SNAP,185%,Other Nutrition Program,57.20%,28.60%,14.20%,12.80%,"8,130",93%,8%,$3.26 ,$17.31 ,"$10,943,000.00 "
16029,ID,"Caribou County, Idaho",2020,7.00%,490,,,6%,130%,SNAP,185%,Other Nutrition Program,42.50%,24.20%,33.30%,7.90%,160,76%,24%,$3.40 ,$18.06 ,"$268,000.00 "
16031,ID,"Cassia County, Idaho",2020,8.10%,"1,940",,17%,7%,130%,SNAP,185%,Other Nutrition Program,60.00%,37.90%,2.10%,10.70%,810,100%,0%,$3.32 ,$17.62 ,"$1,037,000.00 "
16033,ID,"Clark County, Idaho",2020,6.80%,60,,,,130%,SNAP,185%,Other Nutrition Program,65.40%,34.60%,0.00%,11.10%,30,100%,0%,$3.18 ,$16.90 ,"$31,000.00 "
16035,ID,"Clearwater County, Idaho",2020,12.80%,"1,120",,,10%,130%,SNAP,185%,Other Nutrition Program,45.20%,19.50%,35.40%,17.00%,240,73%,27%,$4.52 ,$23.99 ,"$815,000.00 "
16037,ID,"Custer County, Idaho",2020,13.60%,570,,,11%,130%,SNAP,185%,Other Nutrition Program,55.80%,22.00%,22.20%,18.50%,140,80%,20%,$4.86 ,$25.81 ,"$446,000.00 "
16039,ID,"Elmore County, Idaho",2020,11.40%,"3,080",,19%,10%,130%,SNAP,185%,Other Nutrition Program,60.00%,25.90%,14.10%,13.80%,940,99%,1%,$3.32 ,$17.63 ,"$1,647,000.00 "
16041,ID,"Franklin County, Idaho",2020,7.20%,990,,,5%,130%,SNAP,185%,Other Nutrition Program,48.50%,22.80%,28.70%,8.20%,360,86%,14%,$3.08 ,$16.32 ,"$490,000.00 "
16043,ID,"Fremont County, Idaho",2020,9.00%,"1,180",,22%,8%,130%,SNAP,185%,Other Nutrition Program,52.00%,14.40%,33.70%,11.70%,390,82%,18%,$3.18 ,$16.90 ,"$605,000.00 "
16045,ID,"Gem County, Idaho",2020,12.10%,"2,160",,,9%,130%,SNAP,185%,Other Nutrition Program,45.60%,22.60%,31.80%,16.60%,680,72%,28%,$3.26 ,$17.31 ,"$1,134,000.00 "
16047,ID,"Gooding County, Idaho",2020,9.80%,"1,500",,18%,10%,130%,SNAP,185%,Other Nutrition Program,54.10%,32.80%,13.00%,13.20%,550,92%,8%,$2.95 ,$15.64 ,"$712,000.00 "
16049,ID,"Idaho County, Idaho",2020,12.00%,"1,970",,,9%,130%,SNAP,185%,Other Nutrition Program,59.40%,23.80%,16.80%,14.70%,470,89%,12%,$4.52 ,$23.99 ,"$1,433,000.00 "
16051,ID,"Jefferson County, Idaho",2020,6.00%,"1,760",,17%,5%,130%,SNAP,185%,Other Nutrition Program,49.80%,48.50%,1.70%,7.10%,700,100%,0%,$3.45 ,$18.32 ,"$978,000.00 "
16053,ID,"Jerome County, Idaho",2020,9.40%,"2,260",,18%,9%,130%,SNAP,185%,Other Nutrition Program,62.20%,22.30%,15.50%,14.60%,"1,080",86%,14%,$2.95 ,$15.64 ,"$1,072,000.00 "
16055,ID,"Kootenai County, Idaho",2020,10.20%,"16,420",,14%,8%,130%,SNAP,185%,Other Nutrition Program,45.40%,19.60%,34.90%,13.60%,"5,020",71%,29%,$3.56 ,$18.89 ,"$9,409,000.00 "
16057,ID,"Latah County, Idaho",2020,10.50%,"4,200",,23%,11%,130%,SNAP,185%,Other Nutrition Program,59.10%,13.10%,27.80%,10.60%,780,74%,26%,$3.61 ,$19.14 ,"$2,438,000.00 "
16059,ID,"Lemhi County, Idaho",2020,11.80%,940,,,9%,130%,SNAP,185%,Other Nutrition Program,57.80%,16.10%,26.10%,14.70%,210,74%,26%,$4.45 ,$23.59 ,"$673,000.00 "
16061,ID,"Lewis County, Idaho",2020,14.70%,570,,,11%,130%,SNAP,185%,Other Nutrition Program,56.30%,26.60%,17.10%,20.20%,170,69%,31%,$4.52 ,$23.99 ,"$415,000.00 "
16063,ID,"Lincoln County, Idaho",2020,9.20%,490,,16%,7%,130%,SNAP,185%,Other Nutrition Program,62.90%,27.80%,9.30%,14.50%,230,96%,4%,$2.95 ,$15.64 ,"$232,000.00 "
16065,ID,"Madison County, Idaho",2020,10.80%,"4,280",,24%,15%,130%,SNAP,185%,Other Nutrition Program,86.00%,14.00%,0.00%,10.30%,"1,100",100%,0%,$3.18 ,$16.90 ,"$2,194,000.00 "
16067,ID,"Minidoka County, Idaho",2020,9.50%,"1,970",,19%,8%,130%,SNAP,185%,Other Nutrition Program,57.60%,29.60%,12.80%,13.90%,830,88%,12%,$2.90 ,$15.40 ,"$920,000.00 "
16069,ID,"Nez Perce County, Idaho",2020,10.50%,"4,240",,20%,8%,130%,SNAP,185%,Other Nutrition Program,52.50%,12.20%,35.40%,12.40%,"1,070",63%,37%,$4.52 ,$23.99 ,"$3,085,000.00 "
16071,ID,"Oneida County, Idaho",2020,9.60%,420,,,7%,130%,SNAP,185%,Other Nutrition Program,51.30%,11.10%,37.60%,10.60%,130,64%,36%,$3.08 ,$16.32 ,"$208,000.00 "
16073,ID,"Owyhee County, Idaho",2020,10.70%,"1,260",,21%,7%,130%,SNAP,185%,Other Nutrition Program,51.30%,29.80%,18.90%,15.30%,460,74%,26%,$3.26 ,$17.31 ,"$662,000.00 "
16075,ID,"Payette County, Idaho",2020,10.00%,"2,370",,15%,9%,130%,SNAP,185%,Other Nutrition Program,48.90%,21.60%,29.60%,12.60%,780,75%,25%,$3.96 ,$21.04 ,"$1,512,000.00 "
16077,ID,"Power County, Idaho",2020,8.60%,650,,15%,9%,130%,SNAP,185%,Other Nutrition Program,50.20%,49.80%,0.00%,12.00%,280,100%,0%,$3.40 ,$18.06 ,"$356,000.00 "
16079,ID,"Shoshone County, Idaho",2020,15.70%,"1,990",,,12%,130%,SNAP,185%,Other Nutrition Program,63.40%,13.30%,23.30%,20.70%,530,66%,34%,$3.56 ,$18.89 ,"$1,140,000.00 "
16081,ID,"Teton County, Idaho",2020,6.20%,730,,,5%,130%,SNAP,185%,Other Nutrition Program,48.40%,18.90%,32.70%,6.20%,180,96%,4%,$4.94 ,$26.20 ,"$580,000.00 "
16083,ID,"Twin Falls County, Idaho",2020,9.90%,"8,510",,17%,8%,130%,SNAP,185%,Other Nutrition Program,56.90%,19.50%,23.60%,13.00%,"3,090",79%,21%,$3.37 ,$17.89 ,"$4,619,000.00 "
16085,ID,"Valley County, Idaho",2020,9.30%,"1,030",,,5%,130%,SNAP,185%,Other Nutrition Program,39.20%,49.20%,11.60%,11.10%,210,88%,12%,$3.96 ,$21.04 ,"$657,000.00 "
16087,ID,"Washington County, Idaho",2020,10.50%,"1,070",,16%,10%,130%,SNAP,185%,Other Nutrition Program,59.40%,40.60%,0.00%,13.50%,310,100%,0%,$3.96 ,$21.04 ,"$683,000.00 "
17001,IL,"Adams County, Illinois",2020,10.60%,"6,950",21%,14%,8%,165%,SNAP,185%,Other Nutrition Program,57.00%,7.00%,36.00%,12.40%,"1,840",76%,24%,$3.12 ,$16.58 ,"$3,495,000.00 "
17003,IL,"Alexander County, Illinois",2020,17.30%,"1,040",18%,,12%,165%,SNAP,185%,Other Nutrition Program,73.20%,26.80%,0.00%,30.80%,420,68%,32%,$2.97 ,$15.75 ,"$497,000.00 "
17005,IL,"Bond County, Illinois",2020,10.80%,"1,790",25%,,8%,165%,SNAP,185%,Other Nutrition Program,61.30%,6.20%,32.50%,13.60%,430,81%,19%,$3.07 ,$16.28 ,"$884,000.00 "
17007,IL,"Boone County, Illinois",2020,9.10%,"4,870",8%,14%,7%,165%,SNAP,185%,Other Nutrition Program,56.10%,15.40%,28.50%,12.80%,"1,690",73%,27%,$3.04 ,$16.14 ,"$2,385,000.00 "
17009,IL,"Brown County, Illinois",2020,8.00%,530,,,7%,165%,SNAP,185%,Other Nutrition Program,55.90%,2.50%,41.60%,8.70%,100,100%,0%,$3.12 ,$16.58 ,"$267,000.00 "
17011,IL,"Bureau County, Illinois",2020,10.40%,"3,420",,15%,8%,165%,SNAP,185%,Other Nutrition Program,60.70%,8.90%,30.30%,13.40%,940,87%,13%,$3.16 ,$16.75 ,"$1,737,000.00 "
17013,IL,"Calhoun County, Illinois",2020,9.70%,470,,,6%,165%,SNAP,185%,Other Nutrition Program,44.80%,8.60%,46.60%,10.10%,100,55%,45%,$2.89 ,$15.36 ,"$219,000.00 "
17015,IL,"Carroll County, Illinois",2020,10.20%,"1,470",,17%,8%,165%,SNAP,185%,Other Nutrition Program,53.80%,12.70%,33.50%,11.90%,330,83%,17%,$3.00 ,$15.93 ,"$710,000.00 "
17017,IL,"Cass County, Illinois",2020,10.30%,"1,270",,17%,8%,165%,SNAP,185%,Other Nutrition Program,67.70%,11.20%,21.20%,13.30%,400,88%,12%,$2.85 ,$15.15 ,"$583,000.00 "
17019,IL,"Champaign County, Illinois",2020,10.50%,"22,010",22%,18%,8%,165%,SNAP,185%,Other Nutrition Program,67.50%,4.30%,28.20%,12.20%,"4,850",83%,17%,$3.30 ,$17.54 ,"$11,707,000.00 "
17021,IL,"Christian County, Illinois",2020,10.60%,"3,480",,,7%,165%,SNAP,185%,Other Nutrition Program,62.30%,8.20%,29.60%,12.20%,800,88%,12%,$2.93 ,$15.56 ,"$1,642,000.00 "
17023,IL,"Clark County, Illinois",2020,10.00%,"1,560",,,7%,165%,SNAP,185%,Other Nutrition Program,56.30%,8.80%,34.90%,11.60%,410,78%,22%,$2.88 ,$15.27 ,"$723,000.00 "
17025,IL,"Clay County, Illinois",2020,14.40%,"1,900",,,10%,165%,SNAP,185%,Other Nutrition Program,63.20%,12.10%,24.70%,17.70%,530,86%,14%,$2.91 ,$15.47 ,"$892,000.00 "
17027,IL,"Clinton County, Illinois",2020,8.10%,"3,040",,17%,6%,165%,SNAP,185%,Other Nutrition Program,54.00%,8.20%,37.80%,7.70%,610,93%,7%,$3.07 ,$16.28 ,"$1,501,000.00 "
17029,IL,"Coles County, Illinois",2020,14.20%,"7,250",24%,17%,12%,165%,SNAP,185%,Other Nutrition Program,61.80%,5.50%,32.70%,16.40%,"1,510",72%,28%,$2.92 ,$15.48 ,"$3,405,000.00 "
17031,IL,"Cook County, Illinois",2020,10.90%,"566,030",19%,15%,6%,165%,SNAP,185%,Other Nutrition Program,64.50%,3.10%,32.40%,18.30%,"206,590",70%,30%,$3.63 ,$19.25 ,"$330,445,000.00 "
17033,IL,"Crawford County, Illinois",2020,10.40%,"1,970",,,8%,165%,SNAP,185%,Other Nutrition Program,53.50%,9.30%,37.20%,10.80%,390,73%,28%,$2.89 ,$15.31 ,"$915,000.00 "
17035,IL,"Cumberland County, Illinois",2020,9.30%,"1,000",,,6%,165%,SNAP,185%,Other Nutrition Program,56.10%,6.60%,37.40%,8.90%,220,87%,13%,$2.92 ,$15.48 ,"$470,000.00 "
17037,IL,"DeKalb County, Illinois",2020,11.10%,"11,580",28%,16%,9%,165%,SNAP,185%,Other Nutrition Program,57.40%,5.40%,37.10%,14.40%,"3,230",68%,32%,$3.51 ,$18.64 ,"$6,548,000.00 "
17039,IL,"De Witt County, Illinois",2020,9.00%,"1,410",,,7%,165%,SNAP,185%,Other Nutrition Program,59.50%,4.80%,35.70%,9.50%,330,100%,0%,$3.00 ,$15.93 ,"$681,000.00 "
17041,IL,"Douglas County, Illinois",2020,8.70%,"1,690",,15%,6%,165%,SNAP,185%,Other Nutrition Program,66.00%,10.30%,23.70%,9.20%,450,100%,0%,$2.92 ,$15.48 ,"$794,000.00 "
17043,IL,"DuPage County, Illinois",2020,6.70%,"62,280",16%,13%,4%,165%,SNAP,185%,Other Nutrition Program,44.00%,6.70%,49.30%,6.80%,"14,270",79%,21%,$3.82 ,$20.26 ,"$38,283,000.00 "
17045,IL,"Edgar County, Illinois",2020,10.70%,"1,850",,,8%,165%,SNAP,185%,Other Nutrition Program,57.30%,11.20%,31.50%,11.50%,390,82%,19%,$2.88 ,$15.27 ,"$857,000.00 "
17047,IL,"Edwards County, Illinois",2020,11.30%,730,,,9%,165%,SNAP,185%,Other Nutrition Program,54.40%,8.30%,37.30%,12.20%,180,64%,36%,$2.91 ,$15.44 ,"$342,000.00 "
17049,IL,"Effingham County, Illinois",2020,9.70%,"3,320",,18%,6%,165%,SNAP,185%,Other Nutrition Program,55.80%,8.50%,35.70%,10.70%,860,75%,25%,$2.91 ,$15.47 ,"$1,558,000.00 "
17051,IL,"Fayette County, Illinois",2020,12.30%,"2,640",,,9%,165%,SNAP,185%,Other Nutrition Program,61.00%,11.30%,27.70%,14.30%,630,84%,16%,$2.83 ,$15.01 ,"$1,202,000.00 "
17053,IL,"Ford County, Illinois",2020,10.60%,"1,390",,,8%,165%,SNAP,185%,Other Nutrition Program,60.70%,9.80%,29.50%,12.40%,370,91%,9%,$3.30 ,$17.54 ,"$739,000.00 "
17055,IL,"Franklin County, Illinois",2020,16.10%,"6,240",,27%,12%,165%,SNAP,185%,Other Nutrition Program,67.10%,8.80%,24.00%,19.10%,"1,630",79%,21%,$2.96 ,$15.73 ,"$2,978,000.00 "
17057,IL,"Fulton County, Illinois",2020,11.80%,"4,080",,,9%,165%,SNAP,185%,Other Nutrition Program,55.90%,8.20%,35.90%,14.10%,960,76%,24%,$3.10 ,$16.47 ,"$2,039,000.00 "
17059,IL,"Gallatin County, Illinois",2020,16.30%,810,,,13%,165%,SNAP,185%,Other Nutrition Program,64.60%,7.10%,28.30%,20.60%,220,83%,17%,$2.80 ,$14.86 ,"$365,000.00 "
17061,IL,"Greene County, Illinois",2020,10.60%,"1,380",,,8%,165%,SNAP,185%,Other Nutrition Program,62.20%,11.00%,26.80%,12.80%,350,93%,7%,$2.89 ,$15.36 ,"$643,000.00 "
17063,IL,"Grundy County, Illinois",2020,8.20%,"4,170",17%,13%,5%,165%,SNAP,185%,Other Nutrition Program,48.70%,9.30%,42.10%,8.90%,"1,150",78%,22%,$3.47 ,$18.42 ,"$2,330,000.00 "
17065,IL,"Hamilton County, Illinois",2020,12.00%,980,,,8%,165%,SNAP,185%,Other Nutrition Program,65.70%,12.00%,22.30%,14.80%,260,89%,11%,$2.80 ,$14.86 ,"$442,000.00 "
17067,IL,"Hancock County, Illinois",2020,10.80%,"1,920",,,8%,165%,SNAP,185%,Other Nutrition Program,58.50%,8.60%,32.90%,13.80%,510,87%,13%,$2.93 ,$15.57 ,"$907,000.00 "
17069,IL,"Hardin County, Illinois",2020,14.20%,550,,,10%,165%,SNAP,185%,Other Nutrition Program,59.30%,8.40%,32.30%,18.90%,100,65%,35%,$2.80 ,$14.86 ,"$248,000.00 "
17071,IL,"Henderson County, Illinois",2020,9.20%,620,,,7%,165%,SNAP,185%,Other Nutrition Program,56.20%,14.50%,29.40%,11.40%,140,86%,14%,$3.16 ,$16.76 ,"$315,000.00 "
17073,IL,"Henry County, Illinois",2020,9.90%,"4,840",26%,17%,6%,165%,SNAP,185%,Other Nutrition Program,52.90%,9.90%,37.20%,12.00%,"1,310",77%,24%,$3.03 ,$16.08 ,"$2,361,000.00 "
17075,IL,"Iroquois County, Illinois",2020,10.10%,"2,760",,17%,8%,165%,SNAP,185%,Other Nutrition Program,65.90%,10.50%,23.60%,10.80%,650,89%,11%,$2.97 ,$15.74 ,"$1,318,000.00 "
17077,IL,"Jackson County, Illinois",2020,14.20%,"8,160",29%,22%,13%,165%,SNAP,185%,Other Nutrition Program,75.60%,3.60%,20.70%,19.00%,"2,020",75%,25%,$3.11 ,$16.49 ,"$4,081,000.00 "
17079,IL,"Jasper County, Illinois",2020,10.50%,"1,000",,,8%,165%,SNAP,185%,Other Nutrition Program,55.90%,9.50%,34.60%,12.10%,260,69%,31%,$2.91 ,$15.47 ,"$469,000.00 "
17081,IL,"Jefferson County, Illinois",2020,13.50%,"5,080",23%,21%,9%,165%,SNAP,185%,Other Nutrition Program,60.10%,8.90%,30.90%,19.90%,"1,670",75%,25%,$2.97 ,$15.74 ,"$2,426,000.00 "
17083,IL,"Jersey County, Illinois",2020,8.70%,"1,900",,,6%,165%,SNAP,185%,Other Nutrition Program,46.80%,7.70%,45.50%,8.00%,350,65%,36%,$2.89 ,$15.36 ,"$885,000.00 "
17085,IL,"Jo Daviess County, Illinois",2020,10.10%,"2,170",,14%,6%,165%,SNAP,185%,Other Nutrition Program,51.20%,7.80%,41.00%,11.80%,480,70%,31%,$3.36 ,$17.86 ,"$1,175,000.00 "
17087,IL,"Johnson County, Illinois",2020,10.90%,"1,350",,,7%,165%,SNAP,185%,Other Nutrition Program,46.50%,5.80%,47.70%,13.70%,310,73%,27%,$2.97 ,$15.75 ,"$645,000.00 "
17089,IL,"Kane County, Illinois",2020,7.30%,"38,650",17%,13%,4%,165%,SNAP,185%,Other Nutrition Program,59.50%,8.80%,31.70%,10.70%,"14,450",81%,19%,$3.41 ,$18.09 ,"$21,203,000.00 "
17091,IL,"Kankakee County, Illinois",2020,10.80%,"11,870",20%,16%,7%,165%,SNAP,185%,Other Nutrition Program,61.50%,4.50%,34.00%,16.00%,"4,010",75%,25%,$3.19 ,$16.93 ,"$6,094,000.00 "
17093,IL,"Kendall County, Illinois",2020,5.10%,"6,520",10%,10%,3%,165%,SNAP,185%,Other Nutrition Program,42.70%,14.30%,42.90%,7.30%,"2,640",66%,34%,$3.16 ,$16.79 ,"$3,321,000.00 "
17095,IL,"Knox County, Illinois",2020,13.00%,"6,490",32%,15%,9%,165%,SNAP,185%,Other Nutrition Program,65.40%,6.00%,28.60%,16.30%,"1,610",88%,12%,$3.06 ,$16.23 ,"$3,195,000.00 "
17097,IL,"Lake County, Illinois",2020,7.10%,"49,570",17%,14%,4%,165%,SNAP,185%,Other Nutrition Program,52.80%,6.80%,40.40%,8.60%,"14,630",81%,19%,$3.68 ,$19.56 ,"$29,409,000.00 "
17099,IL,"LaSalle County, Illinois",2020,11.70%,"12,730",27%,16%,9%,165%,SNAP,185%,Other Nutrition Program,54.20%,8.50%,37.30%,15.50%,"3,630",75%,25%,$3.22 ,$17.09 ,"$6,599,000.00 "
17101,IL,"Lawrence County, Illinois",2020,12.30%,"1,940",,,9%,165%,SNAP,185%,Other Nutrition Program,56.20%,6.50%,37.40%,16.70%,500,83%,17%,$2.92 ,$15.49 ,"$911,000.00 "
17103,IL,"Lee County, Illinois",2020,10.90%,"3,740",,14%,8%,165%,SNAP,185%,Other Nutrition Program,50.30%,6.50%,43.10%,11.10%,750,63%,38%,$3.07 ,$16.27 ,"$1,846,000.00 "
17105,IL,"Livingston County, Illinois",2020,10.80%,"3,860",16%,19%,8%,165%,SNAP,185%,Other Nutrition Program,54.80%,8.10%,37.10%,13.10%,"1,010",87%,13%,$3.11 ,$16.49 ,"$1,931,000.00 "
17107,IL,"Logan County, Illinois",2020,9.80%,"2,820",39%,22%,7%,165%,SNAP,185%,Other Nutrition Program,47.40%,6.20%,46.40%,10.60%,580,77%,23%,$2.89 ,$15.34 ,"$1,312,000.00 "
17109,IL,"McDonough County, Illinois",2020,11.80%,"3,550",23%,30%,13%,165%,SNAP,185%,Other Nutrition Program,70.10%,5.90%,24.00%,11.60%,590,84%,17%,$3.04 ,$16.15 ,"$1,739,000.00 "
17111,IL,"McHenry County, Illinois",2020,7.20%,"22,050",5%,13%,4%,165%,SNAP,185%,Other Nutrition Program,39.80%,8.00%,52.20%,8.10%,"5,840",64%,37%,$3.45 ,$18.30 ,"$12,238,000.00 "
17113,IL,"McLean County, Illinois",2020,9.20%,"15,910",22%,17%,7%,165%,SNAP,185%,Other Nutrition Program,60.70%,3.90%,35.40%,9.10%,"3,360",74%,26%,$3.29 ,$17.47 ,"$8,432,000.00 "
17115,IL,"Macon County, Illinois",2020,12.50%,"13,070",23%,18%,8%,165%,SNAP,185%,Other Nutrition Program,59.70%,3.70%,36.60%,19.40%,"4,520",66%,34%,$3.00 ,$15.93 ,"$6,317,000.00 "
17117,IL,"Macoupin County, Illinois",2020,11.10%,"5,010",,21%,8%,165%,SNAP,185%,Other Nutrition Program,60.80%,9.20%,30.00%,13.10%,"1,260",82%,18%,$3.21 ,$17.05 ,"$2,592,000.00 "
